% Model,coronal.mph
% Version,COMSOL 4.4.0.248
% Date,"Nov 27 2014, 11:22"
% Table,Probe Table 1 - 
% t,"Concentration (mol/m^3), Point Probe Expression 1","Concentration (mol/m^3), Point Probe Expression 2","Concentration (mol/m^3), Point Probe Expression 3"
0,-0.013598769682279035,8.63324479814184E-6,1.658452865837479E-8
0.0345579838602642,0.006148113256096918,7.888326815569964E-6,1.4374972380096394E-8
0.0691159677205284,0.023865186770179618,7.223927249746156E-6,1.2381862887355218E-8
0.1382319354410568,0.055296910381098636,6.000984361874448E-6,8.737245462245223E-9
0.2764638708821136,0.10283883331676455,3.854316492228825E-6,2.6600551571047375E-9
0.4146958063231704,0.13509412961356304,2.062077323781998E-6,-1.9684047053462625E-9
0.5529277417642272,0.1570533390116906,5.834342342620706E-7,-5.318224976305204E-9
0.691159677205284,0.17237671107179686,-6.221017828057353E-7,-7.56694964061759E-9
0.9676235480873976,0.193241316705479,-2.3691743096061554E-6,-9.568248149220125E-9
1.2440874189695112,0.2056257921597902,-3.353733266264908E-6,-8.940261544782753E-9
1.520551289851625,0.213886971806038,-3.7356414130022443E-6,-6.5848947258693195E-9
2.073479031615852,0.22603162179479125,-3.3871863099610026E-6,-2.725409197187302E-10
2.6264067733800793,0.23419388651619283,-2.093817620332196E-6,5.929994343269357E-9
3.1793345151443066,0.2402280962329043,-4.785034178195681E-7,9.899723031997858E-9
4.285189998672761,0.2491844026577711,2.01263278308447E-6,9.667965130294006E-9
5.391045482201216,0.2550994560150686,3.0827957818956164E-6,2.3771347012603804E-9
6.496900965729671,0.2592737563854179,2.6930923879668882E-6,-6.301115492808507E-9
7.602756449258125,0.26245027057253995,1.339243966577512E-6,-1.1713574757975253E-8
9.814467416315034,0.26734488923251964,-1.4133157301999165E-6,-8.888439007141071E-9
12.026178383371944,0.27082985776402424,-2.8044739356379996E-6,3.1479873139630246E-9
16.44960031748576,0.2758427076068969,-1.1205523252460784E-6,1.1554608040244923E-8
20.87302225159958,0.27909905885201264,2.0138589920546427E-6,2.86379929984574E-10
25.296444185713398,0.28141756983111255,2.3755077110364233E-6,-1.0947433233795841E-8
34.143288053941035,0.2848327516401147,5.573408975242563E-6,-4.174874784192059E-10
42.99013192216867,0.287114275446737,4.247268260529231E-5,6.027109188511217E-9
51.83697579039631,0.2887789603106934,1.520829830643575E-4,-1.5985680802171782E-8
69.53066352685158,0.29127883293858386,6.78156480671499E-4,1.4877858212798792E-8
87.22435126330686,0.2929948153589299,0.0015905043452162154,9.394866864623378E-8
104.91803899976213,0.29426826846329424,0.0028172655430192504,1.4609129918597128E-7
129.46132733116139,0.04125748583572544,0.004804249605013147,2.2258131561601127E-6
130.84188729980258,0.03155185758493919,0.004926370798772224,2.414071869577135E-6
133.603007237085,0.0245576131597564,0.005171140133566403,2.868546607504802E-6
135.95996409224628,0.02123032212499514,0.005380153895638366,3.321860489795215E-6
140.67387780256885,0.017410285571120836,0.005795554063603522,4.569569625612875E-6
150.101705223214,0.013346299240820094,0.006588991206772193,9.112365047013414E-6
159.52953264385914,0.010834083489763993,0.007318133973848294,1.636877133114069E-5
178.38518748514943,0.008067601127625874,0.008423976064585633,4.5743609161745046E-5
197.24084232643972,0.006360033855550658,0.009180751208796372,9.23583367917755E-5
216.09649716773,0.005209437311403882,0.009641589376706653,1.566443636774477E-4
234.9521520090203,0.004385989482137665,0.009872446729721247,2.3726889185763376E-4
272.6634616916009,0.0031836083110842297,0.00996966500616339,4.2823736061047414E-4
310.3747713741815,0.002461660996626824,0.009662687127080849,6.526937980111405E-4
385.79739073934263,0.001612907359403932,0.008664328055563024,0.0011034438962303345
451.68907289695653,0.0012590306708695274,0.007667433265804281,0.001450188736517527
517.5807550545704,0.001045067839310747,0.0067803394885904015,0.0017141999669941167
583.4724372121843,8.936548123445704E-4,0.006045171305352396,0.0018928886160588221
649.3641193697982,7.778758752032172E-4,0.005442151620778104,0.002000943802566366
715.2558015274121,6.862142389692643E-4,0.0049419043056768905,0.0020569719384256812
847.0391658426399,5.46630771261822E-4,0.004143735023668186,0.002083669936761826
978.8225301578677,4.509599827853458E-4,0.003552696540225337,0.0020365410379102568
1110.6058944730955,3.8292928445021854E-4,0.0031020470595168196,0.001954988721172674
1242.3892587883233,3.322877549486428E-4,0.002748112408252161,0.0018607717789070764
1374.1726231035511,2.9301603090631657E-4,0.002462972880853271,0.0017646865338969099
1505.955987418779,2.615797196946149E-4,0.0022283808268116065,0.0016717518690312276
1697.955987418779,2.250513841811194E-4,0.0019497347825839287,0.0015462705219435836
1889.955987418779,1.9683972618253655E-4,0.0017291536507399005,0.0014332152512043256
2081.955987418779,1.7452445459050192E-4,0.0015510767080847605,0.001332346600989904
