% Model,coronal_mesh11.mph
% Version,COMSOL 4.4.0.248
% Date,"Nov 27 2014, 12:26"
% Table,Probe Table 1 - 
% t,"Concentration (mol/m^3), Point Probe Expression 1","Concentration (mol/m^3), Point Probe Expression 2","Concentration (mol/m^3), Point Probe Expression 3"
0,0.04134345155549948,7.506506470043987E-11,-1.5168510502345228E-15
0.007031508850620605,0.04202026899026522,7.303150372038208E-11,-1.4079477057091707E-15
0.01406301770124121,0.04312581470240395,7.050201488880133E-11,-1.3014448566978898E-15
0.02812603540248242,0.04553958688504029,6.342172824092137E-11,-1.0723758915525795E-15
0.04218905310372363,0.0481352599490608,5.356613886318379E-11,-8.22246868155138E-16
0.07031508850620605,0.053706318314317984,2.978809967398712E-11,-3.195196239452792E-16
0.09844112390868846,0.05960555778664317,4.1153000205499295E-12,1.4347035606963194E-16
0.12656715931117088,0.0655938263704342,-1.9853810084512927E-11,5.262670810158864E-16
0.1828192301161357,0.07716109569179044,-5.434585368024372E-11,9.928667838135726E-16
0.23907130092110054,0.08792021492394905,-6.980745421622922E-11,1.0981031333736497E-15
0.2953233717260654,0.09768565725193364,-6.755692267082732E-11,9.233766341809713E-16
0.35157544253103024,0.10646109387182309,-5.178803672430078E-11,5.735888338829781E-16
0.4640795841409599,0.1215691204452142,-5.176575696854729E-12,-1.9666345026907495E-16
0.5765837257508896,0.13396903795371784,4.2387629516059796E-11,-8.033387243769659E-16
0.6890878673608193,0.1442954073314727,7.249857240197506E-11,-1.0471159414245995E-15
0.801592008970749,0.1530320813208263,7.76447739500536E-11,-9.157047696857097E-16
1.0266002921906083,0.16729420409363777,3.503429001105745E-11,-1.5012866358611832E-16
1.2516085754104678,0.17820318694252263,-3.4148684748881223E-11,6.639972603753099E-16
1.7016251418501864,0.19437917726930481,-7.964371472428294E-11,8.759001036583498E-16
2.151641708289905,0.20530161280666742,-1.846249870567556E-11,-1.880688813565924E-17
2.601658274729624,0.2131967943143632,5.721858326980806E-11,-7.278231303026768E-16
3.5016914076090613,0.22477400918780016,4.008446268608849E-11,-2.7994015931861754E-16
4.401724540488499,0.23244819341529835,-3.604769807474531E-11,4.412087522016933E-16
5.301757673367937,0.23795144690193246,-2.5720739067563463E-11,1.4387393691482369E-16
7.101823939126811,0.2459944804973446,2.360765986938182E-11,-2.5329318371350176E-16
8.901890204885687,0.25128229294607185,6.762655430691839E-13,1.9940476574067712E-17
10.701956470644562,0.2550586352603687,-4.823936935555989E-11,8.118678374598781E-17
14.302089002162312,0.26060755029149457,1.7753335948377703E-9,-2.787446882720571E-17
17.902221533680063,0.2642980074814043,3.426036663189629E-8,3.334667072945303E-17
