% Model,sagittal.mph
% Version,COMSOL 4.4.0.248
% Date,"Nov 28 2014, 11:19"
% Table,Probe Table 1 - 
% t,"Concentration (mol/m^3), Point Probe Expression 3","Concentration (mol/m^3), Point Probe Expression 2","Concentration (mol/m^3), Point Probe Expression 1"
0,-4.525359307645794E-40,2.2339994266199918E-8,0.15468697858789465
0.06236330400201614,-6.4891826609383756E-40,6.963476448141306E-9,0.15780234906124566
0.12472660800403228,-1.9042451166185372E-42,-3.139907056586081E-9,0.16025083122577657
0.24945321600806455,4.653352472857015E-41,-1.3459185992845992E-8,0.16672788803440092
0.4989064320161291,1.2658335068234397E-39,-8.255171775986922E-9,0.17830809834127528
0.7483596480241936,2.4380911588720275E-38,8.05763658684492E-9,0.1879551760388603
0.9978128640322582,1.8700472892568907E-37,1.7202503096111666E-8,0.19624364031022234
1.4967192960483873,2.224992492769351E-32,7.1868679744646675E-9,0.20977155443721307
1.9956257280645164,4.373335808313753E-31,-1.2996335436862676E-8,0.220006311355236
2.9934385920967745,-1.5305428243835215E-27,-1.1649189303419975E-8,0.2346371061556196
3.991251456129033,-4.862756006589754E-25,5.270516283258547E-9,0.2421675644381937
4.989064320161291,-4.9491037284526434E-24,2.276111139064338E-9,0.24781239230800148
6.984690048225808,-1.0398317727089308E-21,-4.2659983504754484E-10,0.2552813633254122
8.980315776290324,-3.8504345934451146E-21,4.176358943374177E-9,0.26054900079198584
12.971567232419357,2.6783548056124308E-17,3.779114585890989E-9,0.26710867293317336
16.96281868854839,6.633408008385322E-16,8.301274001052281E-8,0.27156615668309103
24.945321600806455,1.0930448626869371E-11,9.168827370351851E-6,0.27693532281145644
32.92782451306452,1.2246782177153418E-10,4.318568544803559E-5,0.28050696528394364
48.892830337580655,2.151110366760583E-8,3.229674180204547E-4,0.28475117170334296
64.85783616209679,1.4469258731186935E-7,8.618176971247223E-4,0.28756516013009614
80.82284198661291,5.618354491062575E-7,0.0016531536818665963,0.28959634439177195
112.75285363564518,3.3579582942132884E-6,0.003710597667537236,0.2926432381116626
144.68286528467743,1.1946769755077037E-5,0.006249323235259569,0.035232958650653554
152.6653681969355,1.554313549477722E-5,0.006938190614742797,0.02065298940759537
159.70066021611217,1.9370451558011146E-5,0.007532077063989096,0.016140181191625316
166.73595223528883,2.393805154500013E-5,0.008101733854772388,0.013366004478819058
180.80653627364217,3.672044301732283E-5,0.009082791510639922,0.010293321290752132
208.94770435034886,8.076800802065026E-5,0.010336726212674025,0.007266586919688384
237.08887242705555,1.4478616563151408E-4,0.011004351934948189,0.0055306853379018545
265.2300405037622,2.2775080868318618E-4,0.011254460774303037,0.004417055239853709
293.3712085804689,3.267489413279161E-4,0.011232330281808459,0.0036485909271955818
349.65354473388226,5.498841507088695E-4,0.010842329536366468,0.00255859155662181
405.93588088729564,7.959596669926928E-4,0.010140090503661024,0.0019371587799551478
462.218217040709,0.0010411043301540878,0.00935899865842924,0.0015626077356777808
518.5005531941224,0.0012653994695677132,0.00861808524516608,0.0013142549123035603
574.7828893475357,0.0014571505910671992,0.00795503479842163,0.0011357417719382553
631.065225500949,0.0016124662076452774,0.007371089104248631,0.0010001516730613772
743.6298978077758,0.0018279326367061392,0.006389487412828602,7.983774989961895E-4
856.1945701146026,0.0019414652939081256,0.005608700023040327,6.638744911986639E-4
968.7592424214293,0.001984275186025405,0.004977182022782521,5.691895414934974E-4
1081.323914728256,0.0019816345615444597,0.004457454633663793,4.984331980875934E-4
1193.8885870350828,0.0019513252692740398,0.004023076353771691,4.429732488414789E-4
1385.8885870350828,0.0018706511125650227,0.003419844999394488,3.692991436169067E-4
1577.8885870350828,0.0017703643416068307,0.0029534424091856104,3.152573247917912E-4
1769.8885870350828,0.0016653564173571079,0.0025859398375205735,2.7422455548454676E-4
1961.8885870350828,0.001563302815940309,0.0022906831385108533,2.4203232045023743E-4
